CODIGOS	DESCRIPCION	Unidad_Primaria
PTEM0122	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND WAB A24	PAQ
PTEM0130	PAN DE HAMBURGUESA TIPO BRIOCHE 65 GR 6 UND WAB A15	PAQ
PTEM0133	PAN TIPO DELI ESPECIAL 120 GR 4 UND A14 OREGANO	PAQ
PTEM0138	PONQUE DE TATA	PAQ
PTEM0152	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND WAM A21	PAQ
PTEM0154	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND AM A18	PAQ
PTEM0155	PAN DE HAMBURGUESA ESPECIAL 120 GR 4 UND A18	PAQ
PTEM0158	PAN DE PERRO JUMBO ESPECIAL 95  GR W 5 UND	PAQ
PTEM0162	DORADITO 1 UND	UND
PTEM0168	PAN DE HAMBURGUESA ESPECIAL 190 GR 2 UND AB	PAQ
PTEM0171	PAN DE HAMBURGUESA ESPECIAL 110 GR W A21	PAQ
PTEM0176	PAN GRANJERO ESPECIAL TIPO BRIOCHE 75GR W 5 UND A19	PAQ
PTEM0025	PAN DE HAMBURGUESA ESPECIAL 110 GR 4 UND WAN A21	PAQ
PTEM0119	PANETTONE GRANDE 400 GR	PAQ
PTEM0054	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND AN A24	PAQ
PTEM0103	PAN TIPO CHINO 45 GR  6 UND	PAQ
PTEM0120	MINI PANETTONE 90 GR	PAQ
PTEM0165	CANILLA ARTESANAL 210 GR 1 UND WAB	UND
PTEM0166	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND W A24	PAQ
PTEM0169	CANILLON ARTESANAL 310 GR 1 UND WAB	UND
PTEM0196	PAN GRANJERO ESPECIAL 75 GR 5 UND	PAQ
PTEM0175	PAN DE HAMBURGUESA ESPECIAL TIPO BRIOCHE 100 GR WAB A18	PAQ
PTEM0110	BAGEL AJONJOLI 105 GR 4 UND	PAQ
PTEM0157	CHOCO COOKIES 5 UND PAQ	PAQ
PTEM0143	JALLAH	PAQ
PTEM0053	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND AB A24	PAQ
PTEM0052	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND WAM A24	PAQ
PTEM0051	PAN DE HAMBURGUESA ESPECIAL 75 GR 6 UND WAN A24	PAQ
PTEM0102	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND AB	PAQ
PTEM0106	PAN INTEGRAL 700 GR 1 UND	PAQ
PTEM0153	PAN TIPO CHINO 12 UND	PAQ
PTEM0135	TEQUEÑOS 30 UND	PAQ
PTEM0099	PAN DE HAMBURGUESA BJ 95 GR 6 UND WAB A 21	PAQ
PTEM0014	PAN DE HAMBURGUESA COLORES 95 GR 6 UND	PAQ
PTEM0011	PAN DE HAMBURGUESA ECON 60 GR 6 UND	PAQ
PTEM0031	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND AB A18	PAQ
PTEM0028	PAN DE HAMBURGUESA ESPECIAL 100 GR 4 UND WAB A18	PAQ
PTEM0019	PAN DE HAMBURGUESA ESPECIAL 140 GR 4 UND WAN A18	PAQ
PTEM0018	PAN DE HAMBURGUESA ESPECIAL 150 GR 4 UND WAB	PAQ
PTEM0016	PAN DE HAMBURGUESA ESPECIAL 170 GR 2 UND WAN	PAQ
PTEM0062	PAN DE HAMBURGUESA ESPECIAL 45 GR 12 UND WAB A36	PAQ
PTEM0055	PAN DE HAMBURGUESA ESPECIAL 65 GR 6 UND WAM A24	PAQ
PTEM0040	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND	PAQ
PTEM0042	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND A21	PAQ
PTEM0041	PAN DE HAMBURGUESA ESPECIAL 85 GR 6 UND AB A21	PAQ
PTEM0063	PAN DE HAMBURGUESA MINI 40 GR 12 UND	PAQ
PTEM0067	PAN DE HAMBURGUESA MINI ESPECIAL 30 GR 15 UND	PAQ
PTEM0068	PAN DE HAMBURGUESA MINI ESPECIAL 30 GR 15 UND WAN	PAQ
PTEM0064	PAN DE HAMBURGUESA MINI ESPECIAL 40 GR 12 UND WAB	PAQ
PTEM0066	PAN DE HAMBURGUESA MINI ESPECIAL 40 GR 12 UND WAM	PAQ
PTEM0065	PAN DE HAMBURGUESA MINI ESPECIAL 40 GR 12 UND WAN	PAQ
PTEM0084	PAN DE HAMBURGUESA TIPO BRIOCHE 110 GR 4 UND WAM A241	PAQ
PTEM0096	PAN DE HAMBURGUESA TIPO BRIOCHE 45 GR 12 UND WAN	PAQ
PTEM0091	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAN A24	PAQ
PTEM0093	PAN DE HAMBURGUESA TIPO BRIOCHE 85 GR 6 UND WAN A24	PAQ
PTEM0069	PAN DE PERRO 63 GR 8 UND W	PAQ
PTEM0008	PAN MOLIDO 1 KG	PAQ
PTEM0076	PAN TIPO DELI 120 GR 4 UND PARMESANO A14	PAQ
PTEM0077	PAN TIPO DELI ESPECIAL 120 GR 4 UND A14	PAQ
PTEM0142	BABKA COFFE CAKE 840 GR 1 PAQ	PAQ
PTEM0128	BABKA DE CHOCOLATE 840G	PAQ
PTEM0109	BAGEL AMAPOLA 105 G 4 UND	PAQ
PTEM0127	BAGEL CHIPS 250 GR	PAQ
PTEM0107	BAGEL EVERYTHING 105 GR 4 UND	PAQ
PTEM0108	BAGEL PLAIN 105 GR 4 UND	PAQ
PTEM0111	BAGEL SPICY 105 GR 4 UND	PAQ
PTEM0104	CAJA DE PALMERITAS 120 GR 8 UND	PAQ
PTEM0183	DORADITOS 12 UND	UND
PTEM0113	MINI BAGEL EVERYTHING 45 GR 5 UND	PAQ
PTEM0167	PAN MOLIDO 300 GR 1 UND	UND
PTEM0134	PAN TIPO BAGELS INTEGRAL CON TOPPING DE AVENA	PAQ
PTEM0136	TEQUEÑOS 15 UND	PAQ
PTEM0114	MINI BAGEL PLAIN 45 GR 5 UND	PAQ
